Date,OuncesPerShare,OuncesSold,ProceedsPerShare
3/31/2023,0.01896374,0.00000385,0.00763825
4/1/2023,0.01896374,,
4/2/2023,0.01896374,,
4/3/2023,0.01896374,,
4/4/2023,0.01895989,,
4/5/2023,0.01895989,,
4/6/2023,0.01895989,,
4/7/2023,0.01895989,,
4/8/2023,0.01895989,,
4/9/2023,0.01895989,,
4/10/2023,0.01895989,,
4/11/2023,0.01895988,,
4/12/2023,0.01895988,,
4/13/2023,0.01895988,,
4/14/2023,0.01895988,,
4/15/2023,0.01895988,,
4/16/2023,0.01895988,,
4/17/2023,0.01895987,,
4/18/2023,0.01895987,,
4/19/2023,0.01895987,,
4/20/2023,0.01895986,,
4/21/2023,0.01895986,,
4/22/2023,0.01895986,,
4/23/2023,0.01895986,,
4/24/2023,0.01895986,,
4/25/2023,0.01895986,,
4/26/2023,0.01895986,,
4/27/2023,0.01895986,,
4/28/2023,0.01895986,,
4/29/2023,0.01895986,,
4/30/2023,0.01895986,0.00000387,0.00771531
5/1/2023,0.01895986,,
5/2/2023,0.01895987,,
5/3/2023,0.01895599,,
5/4/2023,0.01895599,,
5/5/2023,0.01895599,,
5/6/2023,0.01895599,,
5/7/2023,0.01895599,,
5/8/2023,0.01895599,,
5/9/2023,0.01895599,,
5/10/2023,0.01895599,,
5/11/2023,0.01895599,,
5/12/2023,0.01895599,,
5/13/2023,0.01895599,,
5/14/2023,0.01895599,,
5/15/2023,0.01895599,,
5/16/2023,0.01895599,,
5/17/2023,0.01895599,,
5/18/2023,0.01895599,,
5/19/2023,0.01895599,,
5/20/2023,0.01895599,,
5/21/2023,0.01895599,,
5/22/2023,0.01895599,,
5/23/2023,0.01895599,,
5/24/2023,0.01895599,,
5/25/2023,0.01895598,,
5/26/2023,0.01895598,,
5/27/2023,0.01895598,,
5/28/2023,0.01895598,,
5/29/2023,0.01895598,,
5/30/2023,0.01895599,,
5/31/2023,0.01895599,0.00000404,0.00798138
6/1/2023,0.01895599,,
6/2/2023,0.01895194,,
6/3/2023,0.01895194,,
6/4/2023,0.01895194,,
6/5/2023,0.01895194,,
6/6/2023,0.01895194,,
6/7/2023,0.01895194,,
6/8/2023,0.01895194,,
6/9/2023,0.01895194,,
6/10/2023,0.01895194,,
6/11/2023,0.01895194,,
6/12/2023,0.01895194,,
6/13/2023,0.01895194,,
6/14/2023,0.01895194,,
6/15/2023,0.01895195,,
6/16/2023,0.01895195,,
6/17/2023,0.01895195,,
6/18/2023,0.01895195,,
6/19/2023,0.01895195,,
6/20/2023,0.01895195,,
6/21/2023,0.01895196,,
6/22/2023,0.01895196,,
6/23/2023,0.01895196,,
